slug,asset,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
target-coin,TGT,Target Coin,29-09-2017,607,0.028961,0.054766,0.028961,0.041777,69996,0,0.4966,0.03
target-coin,TGT,Target Coin,30-09-2017,607,0.041783,0.046196,0.031435,0.031744,5725,0,0.0209,0.01
target-coin,TGT,Target Coin,01-10-2017,607,0.031761,0.035957,0.02104,0.028385,5012,0,0.4924,0.01
target-coin,TGT,Target Coin,02-10-2017,607,0.028375,0.054595,0.020417,0.022525,8010,0,0.0617,0.03
target-coin,TGT,Target Coin,03-10-2017,607,0.022527,0.032225,0.020211,0.020359,1787,0,0.0123,0.01
target-coin,TGT,Target Coin,04-10-2017,607,0.020407,0.02754,0.017278,0.019443,1298,0,0.211,0.01
target-coin,TGT,Target Coin,05-10-2017,607,0.019451,0.032094,0.018516,0.025571,59258,0,0.5196,0.01
target-coin,TGT,Target Coin,06-10-2017,607,0.025573,0.034976,0.020769,0.024754,47734,0,0.2805,0.01
target-coin,TGT,Target Coin,07-10-2017,607,0.02476,0.03491,0.024634,0.030197,7989,0,0.5414,0.01
target-coin,TGT,Target Coin,08-10-2017,607,0.030135,0.030942,0.027682,0.030148,4016,28701000,0.7564,0
target-coin,TGT,Target Coin,09-10-2017,607,0.030153,0.041039,0.014315,0.029773,121052,28718500,0.5784,0.03
target-coin,TGT,Target Coin,10-10-2017,607,0.029776,0.029937,0.019594,0.020229,344,28359900,0.0614,0.01
target-coin,TGT,Target Coin,11-10-2017,607,0.020226,0.05281,0.017733,0.0321,139979,19264000,0.4096,0.04
target-coin,TGT,Target Coin,12-10-2017,607,0.032594,0.038773,0.020178,0.020797,14061,31043400,0.0333,0.02
target-coin,TGT,Target Coin,13-10-2017,607,0.02086,0.027247,0.015179,0.019592,2615,19867900,0.3657,0.01
target-coin,TGT,Target Coin,14-10-2017,607,0.019598,0.042889,0.019101,0.025699,3657,18665500,0.2774,0.02
target-coin,TGT,Target Coin,15-10-2017,607,0.025749,0.029775,0.018119,0.027141,5478,24524000,0.774,0.01
target-coin,TGT,Target Coin,16-10-2017,607,0.027146,0.030874,0.020043,0.027715,6682,25854800,0.7083,0.01
target-coin,TGT,Target Coin,17-10-2017,607,0.02773,0.038633,0.019574,0.022411,201639,26411200,0.1489,0.02
target-coin,TGT,Target Coin,18-10-2017,607,0.022412,0.025158,0.018001,0.025047,1735,21345900,0.9845,0.01
target-coin,TGT,Target Coin,19-10-2017,607,0.025057,0.027842,0.018535,0.018535,2404,23864900,0,0.01
target-coin,TGT,Target Coin,20-10-2017,607,0.018488,0.022598,0.018321,0.021524,668,17608400,0.7489,0
target-coin,TGT,Target Coin,21-10-2017,607,0.021519,0.023699,0.020782,0.020782,968,20495000,0,0
target-coin,TGT,Target Coin,22-10-2017,607,0.020788,0.021882,0.017682,0.021545,799,19799400,0.9198,0
target-coin,TGT,Target Coin,23-10-2017,607,0.02151,0.025012,0.017933,0.022797,227860,20487200,0.6871,0.01
target-coin,TGT,Target Coin,24-10-2017,607,0.022747,0.023454,0.016017,0.021846,3121,21664700,0.7838,0.01
target-coin,TGT,Target Coin,25-10-2017,607,0.021854,0.0219,0.016417,0.016632,1131,20814900,0.0392,0.01
target-coin,TGT,Target Coin,26-10-2017,607,0.01663,0.022963,0.016531,0.021638,384,15838700,0.794,0.01
target-coin,TGT,Target Coin,27-10-2017,607,0.021642,0.02422,0.013984,0.018503,1062,20612800,0.4415,0.01
target-coin,TGT,Target Coin,28-10-2017,607,0.018552,0.025389,0.015774,0.025342,7956,17669900,0.9951,0.01
target-coin,TGT,Target Coin,29-10-2017,607,0.025329,0.027136,0.016169,0.019646,1409,24124500,0.317,0.01
target-coin,TGT,Target Coin,30-10-2017,607,0.019537,0.019537,0.01268,0.013376,8767,18607500,0.1015,0.01
target-coin,TGT,Target Coin,31-10-2017,607,0.013368,0.02904,0.01324,0.021311,395,12732400,0.5108,0.02
target-coin,TGT,Target Coin,01-11-2017,607,0.021295,0.021749,0.014966,0.016366,365,20282000,0.2064,0.01
target-coin,TGT,Target Coin,02-11-2017,607,0.016384,0.022605,0.012606,0.020095,6727,15605100,0.749,0.01
target-coin,TGT,Target Coin,03-11-2017,607,0.020187,0.033563,0.009831,0.015772,436,19226600,0.2503,0.02
target-coin,TGT,Target Coin,04-11-2017,607,0.015736,0.019272,0.010172,0.018935,497,14987800,0.963,0.01
target-coin,TGT,Target Coin,05-11-2017,607,0.018905,0.019134,0.014039,0.014042,94,18005600,6.00E-04,0.01
target-coin,TGT,Target Coin,06-11-2017,607,0.01407,0.015613,0.012592,0.013474,1513,13400300,0.292,0
target-coin,TGT,Target Coin,07-11-2017,607,0.013456,0.019245,0.01107,0.011136,484,12815800,0.0081,0.01
target-coin,TGT,Target Coin,08-11-2017,607,0.011101,0.011959,0.004882,0.011684,2877,10573100,0.9611,0.01
target-coin,TGT,Target Coin,09-11-2017,607,0.011654,0.028858,0.009985,0.011804,3606,11099800,0.0964,0.02
target-coin,TGT,Target Coin,10-11-2017,607,0.011837,0.022116,0.01004,0.019046,2564,11273800,0.7458,0.01
target-coin,TGT,Target Coin,11-11-2017,607,0.01898,0.023703,0.008722,0.023521,2538,18077000,0.9879,0.01
target-coin,TGT,Target Coin,12-11-2017,607,0.023521,0.042323,0.011784,0.042323,7884,22402400,1,0.03
target-coin,TGT,Target Coin,13-11-2017,607,0.042384,0.042946,0.022256,0.034582,8305,40368000,0.5957,0.02
target-coin,TGT,Target Coin,14-11-2017,607,0.034637,0.049994,0.021809,0.029041,1677,32988900,0.2566,0.03
target-coin,TGT,Target Coin,15-11-2017,607,0.029061,0.03326,0.024776,0.028306,585,27678400,0.4161,0.01
target-coin,TGT,Target Coin,16-11-2017,607,0.028397,0.030439,0.012597,0.015765,1492,27045800,0.1776,0.02
target-coin,TGT,Target Coin,17-11-2017,607,0.015742,0.017943,0.012672,0.017638,527,14993200,0.9421,0.01
target-coin,TGT,Target Coin,18-11-2017,607,0.017576,0.020667,0.013179,0.017839,191,16740200,0.6223,0.01
target-coin,TGT,Target Coin,19-11-2017,607,0.017805,0.023998,0.017538,0.018865,198,16958500,0.2054,0.01
target-coin,TGT,Target Coin,20-11-2017,607,0.018857,0.036224,0.018191,0.030489,423953,17959600,0.682,0.02
target-coin,TGT,Target Coin,21-11-2017,607,0.030495,0.035326,0.025204,0.03099,1636,29043800,0.5716,0.01
target-coin,TGT,Target Coin,22-11-2017,607,0.030942,0.031195,0.024757,0.02729,615,29470500,0.3934,0.01
target-coin,TGT,Target Coin,23-11-2017,607,0.027332,0.027402,0.017594,0.018324,672,26032100,0.0744,0.01
target-coin,TGT,Target Coin,24-11-2017,607,0.018289,0.019811,0.017093,0.018721,1089,17418600,0.599,0
target-coin,TGT,Target Coin,25-11-2017,607,0.018684,0.024074,0.015653,0.02372,305,17795600,0.958,0.01
target-coin,TGT,Target Coin,26-11-2017,607,0.023717,0.024174,0.016745,0.018677,507,22588300,0.2601,0.01
target-coin,TGT,Target Coin,27-11-2017,607,0.018679,0.019162,0.012134,0.018292,757,17790700,0.8762,0.01
target-coin,TGT,Target Coin,28-11-2017,607,0.018329,0.022891,0.012809,0.022824,158323,17457000,0.9934,0.01
target-coin,TGT,Target Coin,29-11-2017,607,0.022801,0.025371,0.013344,0.01602,3259,21716300,0.2225,0.01
target-coin,TGT,Target Coin,30-11-2017,607,0.016263,0.022071,0.014332,0.017008,3486,15489400,0.3458,0.01
target-coin,TGT,Target Coin,01-12-2017,607,0.016949,0.017029,0.013336,0.01547,713,16142800,0.5778,0
